# format=rl-suite-semantic-map-v1
# revision=1.12.13
# input.sha256=a0eeaa3968819fdde8bb13988a99b7a6152539da35955da3860576b4c39b7859
# source=devious-annotations
# source.sha256=68fa234b5709c52a7d589d59e53223c08ca764aac3ffe71fb9fda40f31e0c2c8
# source.commit=3c01c4f5a68e2e013f47ea8bb8b66e364494ebee
class	cn	-	-	ItemContainer
class	co	-	-	class62
class	cp	-	-	MouseRecorder
class	cq	-	-	ObjectSound
class	cr	-	-	Actor
class	cs	-	-	ArchiveLoader
class	ct	-	-	DynamicObject
class	cu	-	-	Script
class	cv	-	-	WorldViewManager
class	cw	-	-	PendingSpawn
class	cx	-	-	InterfaceParent
class	cy	-	-	class70
class	cz	-	-	class67
class	da	-	-	Messages
class	db	-	-	TileItem
class	dc	-	-	AttackOption
class	dd	-	-	WorldView
class	de	-	-	VorbisResidue
class	dg	-	-	SoundSystem
class	di	-	-	class88
class	dj	-	-	Varcs
class	dk	-	-	RawPcmStream
class	dl	-	-	PacketWriter
class	dm	-	-	PcmPlayer
class	dn	-	-	PcmStream
class	do	-	-	class101
class	dp	-	-	SoundEnvelope
class	dq	-	-	RawSound
class	dr	-	-	PcmStreamMixer
class	ds	-	-	SoundCache
class	dt	-	-	class85
class	du	-	-	VorbisFloor
class	dv	-	-	NPC
class	dw	-	-	HealthBarConfig
class	dx	-	-	SoundEffect
class	dz	-	-	PlayerUpdateManager
class	ea	-	-	class105
class	eb	-	-	UserComparator10
class	ec	-	-	VorbisMapping
class	ed	-	-	UserComparator3
class	ee	-	-	VorbisCodebook
class	ef	-	-	PcmStreamMixerListener
class	eg	-	-	Instrument
class	eh	-	-	UserComparator7
class	ei	-	-	UrlRequester
class	ej	-	-	AudioFilter
class	el	-	-	AbstractSound
class	en	-	-	UserComparator9
class	eo	-	-	UserComparator5
class	ep	-	-	class117
class	eq	-	-	class107
class	er	-	-	VorbisSample
class	es	-	-	class108
class	et	-	-	ReflectionCheck
class	eu	-	-	SecureUrlRequester
class	ev	-	-	UserComparator4
class	ew	-	-	class113
class	ey	-	-	UrlRequest
class	ez	-	-	UserComparator8
class	fa	-	-	ClanChannelMember
class	fb	-	-	AuthenticationScheme
class	fc	-	-	class154
class	fd	-	-	class152
class	fe	-	-	class144
class	ff	-	-	BuddyRankComparator
class	fg	-	-	class138
class	fi	-	-	class137
class	fj	-	-	class150
class	fk	-	-	class142
class	fl	-	-	class134
class	fp	-	-	UserComparator6
class	fq	-	-	class140
class	fs	-	-	class136
class	fu	-	-	class147
class	fv	-	-	class148
class	fw	-	-	class145
class	fx	-	-	LoginPacket
class	fz	-	-	class141
class	ga	-	-	class164
class	gc	-	-	InvDefinition
class	gd	-	-	class160
class	ge	-	-	class175
class	gi	-	-	class179
class	gj	-	-	class166
class	gm	-	-	Sound
class	go	-	-	class161
class	gq	-	-	class180
class	gr	-	-	class181
class	gs	-	-	ClanSettings
class	gu	-	-	class157
class	gx	-	-	PlayerCompositionColorTextureOverride
class	gy	-	-	class165
class	gz	-	-	ClanChannel
class	ha	-	-	NpcOverrides
class	hb	-	-	EnumComposition
class	hc	-	-	class194
class	hd	-	-	class184
class	he	-	-	class182
class	hf	-	-	FloorUnderlayDefinition
class	hg	-	-	VarcInt
class	hh	-	-	class195
class	hi	-	-	WorldMapElement
class	hj	-	-	HealthBarDefinition
class	hk	-	-	VerticalAlignment
class	hl	-	-	HorizontalAlignment
class	hm	-	-	SpotAnimationDefinition
class	hn	-	-	class191
class	ho	-	-	class203
class	hp	-	-	class201
class	hq	-	-	class190
class	hr	-	-	class196
class	hs	-	-	class204
class	ht	-	-	class200
class	hu	-	-	NPCComposition
class	hv	-	-	WorldEntityConfig
class	hw	-	-	VarpDefinition
class	hx	-	-	class189
class	hy	-	-	KitDefinition
class	ia	-	-	class228
class	ib	-	-	class208
class	ic	-	-	TaskHandler
class	id	-	-	class222
class	ie	-	-	class224
class	if	-	-	class209
class	ig	-	-	class210
class	ih	-	-	MouseWheel
class	ii	-	-	VarbitComposition
class	ij	-	-	class217
class	ik	-	-	MilliClock
class	im	-	-	FileSystem
class	in	-	-	JagexCache
class	ip	-	-	ParamComposition
class	iq	-	-	HitSplatDefinition
class	ir	-	-	NanoClock
class	is	-	-	ItemComposition
class	it	-	-	StructComposition
class	iu	-	-	class212
class	iv	-	-	ObjectComposition
class	iw	-	-	SequenceDefinition
class	ix	-	-	class225
class	iy	-	-	class226
